0,hello,https://www.handspeak.com/word/1015/
77,like,https://www.handspeak.com/word/most-used/1276/,https://www.handspeak.com/word/l/lik/like.mp4
78,say,https://www.handspeak.com/word/most-used/1881/,https://www.handspeak.com/word/s/say/say.mp4
79,cold,https://www.handspeak.com/word/most-used/416/,https://www.handspeak.com/word/c/col/cold-brr.mp4
80,hot,https://www.handspeak.com/word/most-used/1060/,https://www.handspeak.com/word/h/hot/hot2.mp4
81,family,https://www.handspeak.com/word/most-used/740/,https://www.handspeak.com/word/f/fam/family.mp4
82,mother,https://www.handspeak.com/word/1439/,https://www.handspeak.com/word/m/mot/mother.mp4
83,father,https://www.handspeak.com/word/758/,https://www.handspeak.com/word/f/fat/father.mp4
84,many,https://www.handspeak.com/word/most-used/1347/,https://www.handspeak.com/word/m/man/many.mp4
85,few,https://www.handspeak.com/word/780/,https://www.handspeak.com/word/f/few/few.mp4
86,now,https://www.handspeak.com/word/most-used/1521/,https://www.handspeak.com/word/n/now/now.mp4
87,later,https://www.handspeak.com/word/most-used/5683/,https://www.handspeak.com/word/l/lat/later.mp4
88,today,https://www.handspeak.com/word/2939/,https://www.handspeak.com/word/t/tod/today2.mp4
89,tomorrow,https://www.handspeak.com/word/2233/,https://www.handspeak.com/word/t/tom/tomorrow.mp4
90,yesterday,https://www.handspeak.com/word/2444/,https://www.handspeak.com/word/y/yes/yesterday.mp4
91,same/also,https://www.handspeak.com/word/most-used/2628/,https://www.handspeak.com/word/s/sam/same-also.mp4
92,remember,https://www.handspeak.com/word/most-used/1797/,https://www.handspeak.com/word/r/rem/remember.mp4
93,your,https://www.handspeak.com/word/most-used/2453/,https://www.handspeak.com/word/y/you/your.mp4
94,more,https://www.handspeak.com/word/most-used/1433/,https://www.handspeak.com/word/m/mor/more.mp4
95,meet,https://www.handspeak.com/word/most-used/1371/,https://www.handspeak.com/word/m/mee/meet.mp4
96,see,https://www.handspeak.com/word/most-used/1911/,https://www.handspeak.com/word/s/see/see.mp4
97,slow,https://www.handspeak.com/word/most-used/1992/,https://www.handspeak.com/word/s/slo/slow.mp4
98,fast/quick,https://www.handspeak.com/word/754/,https://www.handspeak.com/word/f/fas/fast-quick.mp4
99,some,https://www.handspeak.com/word/most-used/2019/,https://www.handspeak.com/word/s/som/some.mp4
100,store/shop,https://www.handspeak.com/word/most-used/2080/,https://www.handspeak.com/word/s/sto/store.mp4
101,take,https://www.handspeak.com/word/most-used/2144/,https://www.handspeak.com/word/t/tak/take.mp4
102,take/bring me,https://www.handspeak.com/word/most-used/2144/,https://www.handspeak.com/word/t/tak/take-me.mp4
103,tell,https://www.handspeak.com/word/most-used/2169/,https://www.handspeak.com/word/t/tel/tell.mp4
104,think,https://www.handspeak.com/word/most-used/2201/,https://www.handspeak.com/word/t/thi/think.mp4
105,want,https://www.handspeak.com/word/most-used/2347/,https://www.handspeak.com/word/w/wan/want.mp4
106,cheap/inexpensive,https://www.handspeak.com/word/366/,https://www.handspeak.com/word/c/che/cheap.mp4
107,expensive,https://www.handspeak.com/word/713/,https://www.handspeak.com/word/e/exp/expensive.mp4
108,that,https://www.handspeak.com/word/2782/,https://www.handspeak.com/word/t/tha/that-inf.mp4
109,this,https://www.handspeak.com/word/2786/,https://www.handspeak.com/word/t/thi/this.mp4
110,here,https://www.handspeak.com/word/1023/,https://www.handspeak.com/word/h/her/here.mp4
111,near,https://www.handspeak.com/word/most-used/2620/,https://www.handspeak.com/word/n/nea/near.mp4
112,far,https://www.handspeak.com/word/743/,https://www.handspeak.com/word/f/far/far.mp4
113,cat,https://www.handspeak.com/word/334/,https://www.handspeak.com/word/c/cat/cat.mp4
114,dog,https://www.handspeak.com/word/602/,https://www.handspeak.com/word/d/dog/dog-fs.mp4
115,morning,https://www.handspeak.com/word/1436/,https://www.handspeak.com/word/m/mor/morning.mp4
116,night,https://www.handspeak.com/word/1492/,https://www.handspeak.com/word/n/nig/night.mp4
117,beautiful,https://www.handspeak.com/word/most-used/171/,https://www.handspeak.com/word/b/bea/beautiful.mp4
118,open,https://www.handspeak.com/word/most-used/1561/,https://www.handspeak.com/word/o/ope/open-frank.mp4
119,close/shut,https://www.handspeak.com/word/407/,https://www.handspeak.com/word/c/clo/close-hour.mp4
120,close/shut,https://www.handspeak.com/word/407/,https://www.handspeak.com/word/c/clo/close-hour2.mp4
